tc=37.777779 - tf=100.000000
tc=40.000000 - tf=104.000000
tc=42.222221 - tf=108.000000
tc=44.444443 - tf=112.000000
tc=46.666668 - tf=116.000000
tc=48.888889 - tf=120.000000
tc=51.111111 - tf=124.000000
tc=53.333332 - tf=128.000000
tc=55.555557 - tf=132.000000
tc=57.777779 - tf=136.000000
tc=60.000000 - tf=140.000000
tc=62.222221 - tf=144.000000
tc=64.444443 - tf=148.000000
tc=66.666664 - tf=152.000000
tc=68.888885 - tf=156.000000
tc=71.111115 - tf=160.000000
tc=73.333336 - tf=164.000000
tc=75.555557 - tf=168.000000
tc=77.777779 - tf=172.000000
tc=80.000000 - tf=176.000000
tc=82.222221 - tf=180.000000
tc=84.444443 - tf=184.000000
tc=86.666664 - tf=188.000000
tc=88.888885 - tf=192.000000
tc=91.111115 - tf=196.000000
tc=93.333336 - tf=200.000000
tc=95.555557 - tf=204.000000
tc=97.777779 - tf=208.000000
tc=100.000000 - tf=212.000000
tc=102.222221 - tf=216.000000
tc=104.444443 - tf=220.000000
tc=106.666664 - tf=224.000000
tc=108.888885 - tf=228.000000
tc=111.111115 - tf=232.000000
tc=113.333336 - tf=236.000000
tc=115.555557 - tf=240.000000
tc=117.777779 - tf=244.000000
tc=120.000000 - tf=248.000000
tc=122.222221 - tf=252.000000
tc=124.444443 - tf=256.000000
tc=126.666664 - tf=260.000000
tc=128.888885 - tf=264.000000
tc=131.111115 - tf=268.000000
tc=133.333328 - tf=272.000000
tc=135.555557 - tf=276.000000
tc=137.777771 - tf=280.000000
tc=140.000000 - tf=284.000000
tc=142.222229 - tf=288.000000
tc=144.444443 - tf=292.000000
tc=146.666672 - tf=296.000000
tc=148.888885 - tf=300.000000
tc=151.111115 - tf=304.000000
tc=153.333328 - tf=308.000000
tc=155.555557 - tf=312.000000
tc=157.777771 - tf=316.000000
tc=160.000000 - tf=320.000000
tc=162.222229 - tf=324.000000
tc=164.444443 - tf=328.000000
tc=166.666672 - tf=332.000000
tc=168.888885 - tf=336.000000
tc=171.111115 - tf=340.000000
tc=173.333328 - tf=344.000000
tc=175.555557 - tf=348.000000
tc=177.777771 - tf=352.000000
tc=180.000000 - tf=356.000000
tc=182.222229 - tf=360.000000
tc=184.444443 - tf=364.000000
tc=186.666672 - tf=368.000000
tc=188.888885 - tf=372.000000
tc=191.111115 - tf=376.000000
tc=193.333328 - tf=380.000000
tc=195.555557 - tf=384.000000
tc=197.777771 - tf=388.000000
tc=200.000000 - tf=392.000000
tc=202.222229 - tf=396.000000
tc=204.444443 - tf=400.000000
tc=206.666672 - tf=404.000000
tc=208.888885 - tf=408.000000
tc=211.111115 - tf=412.000000
tc=213.333328 - tf=416.000000
tc=215.555557 - tf=420.000000
tc=217.777771 - tf=424.000000
tc=220.000000 - tf=428.000000
tc=222.222229 - tf=432.000000
tc=224.444443 - tf=436.000000
tc=226.666672 - tf=440.000000
tc=228.888885 - tf=444.000000
tc=231.111115 - tf=448.000000
tc=233.333328 - tf=452.000000
tc=235.555557 - tf=456.000000
tc=237.777771 - tf=460.000000
tc=240.000000 - tf=464.000000
tc=242.222229 - tf=468.000000
tc=244.444443 - tf=472.000000
tc=246.666672 - tf=476.000000
tc=248.888885 - tf=480.000000
tc=251.111115 - tf=484.000000
tc=253.333328 - tf=488.000000
tc=255.555557 - tf=492.000000
tc=257.777771 - tf=496.000000
